"Source","Statistic","Reported.Comparison","Reported.P.Value","Raw"
"90","A New Kuznetsian Dynamic  The Knowledge Economy and Income Inequality in the United States, 1917–2008 - Kwon","p","<",0.01,"p < 0.01"
"91","A Population-Based Study of Alcohol Use in Same-Sex and Different-Sex Unions - Reczek - 2014","p","<",0.01,"p < .01"
"92","A Population-Based Study of Alcohol Use in Same-Sex and Different-Sex Unions - Reczek - 2014","p","<",0.01,"p < .01"
"93","A Population-Based Study of Alcohol Use in Same-Sex and Different-Sex Unions - Reczek - 2014","p","<",0.01,"p < .01"
"94","A Population-Based Study of Alcohol Use in Same-Sex and Different-Sex Unions - Reczek - 2014","p","<",0.05,"p < .05"
"95","A Population-Based Study of Alcohol Use in Same-Sex and Different-Sex Unions - Reczek - 2014","p","<",0.05,"p < .05"
"96","A Population-Based Study of Alcohol Use in Same-Sex and Different-Sex Unions - Reczek - 2014","p","<",0.05,"p < .05"
"97","A Population-Based Study of Alcohol Use in Same-Sex and Different-Sex Unions - Reczek - 2014","p","<",0.001,"p < .001"
"98","A Population-Based Study of Alcohol Use in Same-Sex and Different-Sex Unions - Reczek - 2014","p","<",0.01,"p < .01"
"99","A Population-Based Study of Alcohol Use in Same-Sex and Different-Sex Unions - Reczek - 2014","p","<",0.05,"p < .05"
"100","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.1,"P < .10"
"101","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.05,"P < .05"
"102","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.01,"P < .01"
"103","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.001,"P < .001"
"104","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.1,"P < .10"
"105","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.05,"P < .05"
"106","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.01,"P < .01"
"107","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.001,"P < .001"
"108","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.1,"P < .10"
"109","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.05,"P < .05"
"110","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.01,"P < .01"
"111","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.001,"P < .001"
"112","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.1,"P < .10"
"113","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.05,"P < .05"
"114","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.01,"P < .01"
"115","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.001,"P < .001"
"116","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.1,"P < .10"
"117","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.05,"P < .05"
"118","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.01,"P < .01"
"119","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.001,"P < .001"
"120","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.1,"P < .10"
"121","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.05,"P < .05"
"122","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.01,"P < .01"
"123","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.01,"P < .01"
"124","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.1,"P < .10"
"125","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.05,"P < .05"
"126","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.01,"P < .01"
"127","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.001,"P < .001"
"128","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.1,"P < .10"
"129","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.05,"P < .05"
"130","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.01,"P < .01"
"131","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.001,"P < .001"
"132","A Punishing Look  Skin Tone and Afrocentric Features in the Halls of Justice","p","",0.05,"P < .05"
"133","A Social Network Comparison of Low-Income Black and White Newlywed Couples - Jackson - 2014","p","=",0.06,"p = .06"
"134","A Social Network Comparison of Low-Income Black and White Newlywed Couples - Jackson - 2014","p","=",0.02,"p = .02"
"135","A Social Network Comparison of Low-Income Black and White Newlywed Couples - Jackson - 2014","p","<",0.001,"p < .001"
"136","A Social Network Comparison of Low-Income Black and White Newlywed Couples - Jackson - 2014","p","<",0.05,"p < .05"
"137","A Social Network Comparison of Low-Income Black and White Newlywed Couples - Jackson - 2014","p","<",0.01,"p < .01"
"138","A Social Network Comparison of Low-Income Black and White Newlywed Couples - Jackson - 2014","p","<",0.05,"p < .05"
"139","A Social Network Comparison of Low-Income Black and White Newlywed Couples - Jackson - 2014","p","<",0.05,"p < .05"
"140","A Social Network Comparison of Low-Income Black and White Newlywed Couples - Jackson - 2014","p","<",0.01,"p < .01"
"141","A Social Network Comparison of Low-Income Black and White Newlywed Couples - Jackson - 2014","p","<",0.001,"p < .001"
"142","A Social Network Comparison of Low-Income Black and White Newlywed Couples - Jackson - 2014","p","=",0.03,"p = .03"
"143","A Social Network Comparison of Low-Income Black and White Newlywed Couples - Jackson - 2014","p","<",0.01,"p < .01"
"144","A Social Network Comparison of Low-Income Black and White Newlywed Couples - Jackson - 2014","p",">",0.05,"p > .05"
"145","A Social Network Comparison of Low-Income Black and White Newlywed Couples - Jackson - 2014","p",">",0.05,"p > .05"
"146","A Social Network Comparison of Low-Income Black and White Newlywed Couples - Jackson - 2014","p","<",0.001,"p < .001"
"147","A Social Network Comparison of Low-Income Black and White Newlywed Couples - Jackson - 2014","p","<",0.05,"p < .05"
"148","A Social Network Comparison of Low-Income Black and White Newlywed Couples - Jackson - 2014","p","<",0.01,"p < .01"
"149","Abortion Liberalization in World Society, 1960–2009","p","",0.1,"P < .10"
"150","Abortion Liberalization in World Society, 1960–2009","p","",0.05,"P < .05"
"151","Abortion Liberalization in World Society, 1960–2009","p","",0.01,"P < .01"
"152","Abortion Liberalization in World Society, 1960–2009","p","",0.001,"P < .001"
"153","Abortion Liberalization in World Society, 1960–2009","p","",0.1,"P < .10"
"154","Abortion Liberalization in World Society, 1960–2009","p","",0.05,"P < .05"
"155","Abortion Liberalization in World Society, 1960–2009","p","",0.01,"P < .01"
"156","Abortion Liberalization in World Society, 1960–2009","p","",0.001,"P < .001"
"157","Abortion Liberalization in World Society, 1960–2009","p","",0.1,"P < .10"
"158","Abortion Liberalization in World Society, 1960–2009","p","",0.05,"P < .05"
"159","Abortion Liberalization in World Society, 1960–2009","p","",0.01,"P < .01"
"160","Abortion Liberalization in World Society, 1960–2009","p","",0.001,"P < .001"
"161","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.05,"p < .05"
"162","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.001,"p < .001"
"163","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.001,"p < .001"
"164","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.001,"p < .001"
"165","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.001,"p < .001"
"166","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.001,"p < .001"
"167","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.05,"p < .05"
"168","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.001,"p < .001"
"169","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.001,"p < .001"
"170","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.01,"p < .01"
"171","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.001,"p < .001"
"172","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.05,"p < .05"
"173","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.01,"p < .01"
"174","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.001,"p < .001"
"175","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.01,"p < .01"
"176","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.05,"p < .05"
"177","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.05,"p < .05"
"178","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.001,"p < .001"
"179","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.01,"p < .01"
"180","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.05,"p < .05"
"181","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.05,"p < .05"
"182","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","p","<",0.05,"p < .05"
"183","Adoption, Foreign-Born Status, and Children's Progress in School - Thomas - 2015","p","<",0.05,"p < .05"
"184","Adoption, Foreign-Born Status, and Children's Progress in School - Thomas - 2015","p","<",0.05,"p < .05"
"185","Adoption, Foreign-Born Status, and Children's Progress in School - Thomas - 2015","p","<",0.05,"p < .05"
"186","Adoption, Foreign-Born Status, and Children's Progress in School - Thomas - 2015","p","<",0.05,"p < .05"
"187","Adoption, Foreign-Born Status, and Children's Progress in School - Thomas - 2015","p","<",0.01,"p < .01"
"188","Adoption, Foreign-Born Status, and Children's Progress in School - Thomas - 2015","p","<",0.001,"p < .001"
"189","Adoption, Foreign-Born Status, and Children's Progress in School - Thomas - 2015","p","=",0.64,"p = .64"
"190","Adoption, Foreign-Born Status, and Children's Progress in School - Thomas - 2015","p","<",0.05,"p < .05"
"191","Adoption, Foreign-Born Status, and Children's Progress in School - Thomas - 2015","p","<",0.05,"p < .05"
"192","Adoption, Foreign-Born Status, and Children's Progress in School - Thomas - 2015","p","<",0.01,"p < .01"
"193","Adoption, Foreign-Born Status, and Children's Progress in School - Thomas - 2015","p","<",0.001,"p < .001"
"194","Adoption, Foreign-Born Status, and Children's Progress in School - Thomas - 2015","p","=",0.21,"p = .21"
"195","Adoption, Foreign-Born Status, and Children's Progress in School - Thomas - 2015","p","<",0.05,"p < .05"
"196","Adoption, Foreign-Born Status, and Children's Progress in School - Thomas - 2015","p","<",0.01,"p < .01"
"197","Adoption, Foreign-Born Status, and Children's Progress in School - Thomas - 2015","p","<",0.001,"p < .001"
"198","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","ns",NA,"(NS"
"199","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","ns",NA,"/ns"
"200","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","ns",NA," NS"
"201","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","ns",NA," NS"
"202","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","ns",NA," NS"
"203","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","ns",NA," NS"
"204","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","ns",NA," NS"
"205","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.05,"p < .05"
"206","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.01,"p < .01"
"207","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.001,"p < .001"
"208","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","ns",NA,"(ns"
"209","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","ns",NA,"(ns"
"210","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.05,"p < .05"
"211","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.01,"p < .01"
"212","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.001,"p < .001"
"213","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.05,"p < .05"
"214","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.01,"p < .01"
"215","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.001,"p < .001"
"216","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.05,"p < .05"
"217","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.01,"p < .01"
"218","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.001,"p < .001"
"219","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.001,"p < .001"
"220","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.001,"p < .001"
"221","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.05,"p < .05"
"222","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.01,"p < .01"
"223","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.001,"p < .001"
"224","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.1,"p < .10"
"225","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.05,"p < .05"
"226","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.01,"p < .01"
"227","Age at Coresidence, Premarital Cohabitation, and Marriage Dissolution  1985–2009 - Kuperberg - 2014","p","<",0.001,"p < .001"
"228","Agents of Change or Cogs in the Machine","p","",0.05,"P < .05"
"229","Agents of Change or Cogs in the Machine","p","",0.36,"P = .36"
"230","Agents of Change or Cogs in the Machine","p","",0.11,"P = .11"
"231","Agents of Change or Cogs in the Machine","p","",0.24,"P = .24"
"232","Agents of Change or Cogs in the Machine","p","",0.18,"P = .18"
"233","Agents of Change or Cogs in the Machine","p","",0.05,"P < .05"
"234","Agents of Change or Cogs in the Machine","p","",0.001,"P < .001"
"235","Agents of Change or Cogs in the Machine","p","",0.05,"P < .05"
"236","Agents of Change or Cogs in the Machine","p","",0.05,"P < .05"
"237","Agents of Change or Cogs in the Machine","p","",0.01,"P < .01"
"238","Agents of Change or Cogs in the Machine","p","",0.05,"P < .05"
"239","Agents of Change or Cogs in the Machine","p","",0.01,"P < .01"
"240","Aging in the Era of Regenerative Medicine  Analysis of Aging-Related Representations among Canadian Researchers - Lafontaine","p","ns",NA,".ns"
"241","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","=",0.02,"p = .02"
"242","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","<",0.001,"p < .001"
"243","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","<",0.001,"p < .001"
"244","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","<",0.001,"p < .001"
"245","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","=",0.01,"p = .01"
"246","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","<",0.05,"p < .05"
"247","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","<",0.01,"p < .01"
"248","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","<",0.01,"p < .01"
"249","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","=",0.01,"p = .01"
"250","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","<",0.05,"p < .05"
"251","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","=",0.03,"p = .03"
"252","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","=",0.002,"p = .002"
"253","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","=",0.001,"p = .001"
