"Source","Statistic","df1","df2","Test.Comparison","Value","Reported.Comparison","Reported.P.Value","Computed","Raw","Error","DecisionError","OneTail","OneTailedInTxt","APAfactor"
"16","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","F",1,537,"=",0.002,"=",0.96,0.96434603292888,"F(1, 537) = .002, p = .96",FALSE,FALSE,FALSE,TRUE,0.58
"17","An Analysis of Consumers’ Reactions to Travel Websites’ Discrimination by Computer Platform - Mattila, Choi, 2014","F",2,116,"=",84.45,"<",0.001,0.0000000000000000000000232488416387328,"F(2,116) = 84.45, p < .001",FALSE,FALSE,FALSE,FALSE,0.09
"18","Anticipating the “Ball and Chain”  Reciprocal Associations Between Marital Expectations and Delinquency - Arocho - 2016","Chi2",65,NA,"=",301.49,"<",0.001,0.0000000000000000000000000000000381848585511581,";2(65) = 301.49, p < .001",FALSE,FALSE,FALSE,FALSE,0.23
"19","Anticipating the “Ball and Chain”  Reciprocal Associations Between Marital Expectations and Delinquency - Arocho - 2016","Chi2",65,NA,"=",301.49,"<",0.001,0.0000000000000000000000000000000381848585511581,";2(65) = 301.49, p < .001",FALSE,FALSE,FALSE,FALSE,0.23
"20","Anticipating the “Ball and Chain”  Reciprocal Associations Between Marital Expectations and Delinquency - Arocho - 2016","Chi2",129,NA,"=",361.15,"<",0.001,0.00000000000000000000000727429312154057,";2(129) = 361.15, p < .001",FALSE,FALSE,FALSE,FALSE,0.23
"21","Attributing Corporate Responsibility for Sexual Harassment - Abbott, Elkins, Phillips, Madera, 2014","Z",NA,NA,"=",0.97,">",0.05,0.332046492127059,"Z = 0.97, p > .05",FALSE,FALSE,FALSE,FALSE,0.12
"22","Attributing Corporate Responsibility for Sexual Harassment - Abbott, Elkins, Phillips, Madera, 2014","Z",NA,NA,"=",3.34,"<",0.05,0.00083778389890074,"Z = 3.34, p < .05",FALSE,FALSE,FALSE,FALSE,0.12
"23","Attributing Corporate Responsibility for Sexual Harassment - Abbott, Elkins, Phillips, Madera, 2014","Z",NA,NA,"=",1.84,">",0.03,0.0657682373183278,"Z = 1.84, p > .03",FALSE,FALSE,FALSE,FALSE,0.12
"24","Comparing Parents of Children With Down Syndrome at Different Life Span Stages - Nelson Goff - 2016","Chi2",9,NA,"=",324.6,"<",0.001,0.000000000000000000000000000000000000000000000000000000000000000156273256993225,";2(9) = 324.60, p < .001",FALSE,FALSE,FALSE,FALSE,0.36
"25","Comparing Parents of Children With Down Syndrome at Different Life Span Stages - Nelson Goff - 2016","Chi2",21,NA,"=",1565.66,"<",0.001,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000289769501285891,";2(21) = 1565.66, p < .001",FALSE,FALSE,FALSE,FALSE,0.36
"26","Comparing Parents of Children With Down Syndrome at Different Life Span Stages - Nelson Goff - 2016","F",3,443,"=",3.38,"<",0.05,0.0182544308662824,"F(3, 443) = 3.38, p < .05",FALSE,FALSE,FALSE,FALSE,0.36
"27","Comparing Parents of Children With Down Syndrome at Different Life Span Stages - Nelson Goff - 2016","F",3,443,"=",2.7,"<",0.05,0.0452760467865683,"F(3, 443) = 2.70, p < .05",FALSE,FALSE,FALSE,FALSE,0.36
"28","Consequences of Dating for Post-divorce Maternal Well-being - Langlais - 2016","r",NA,4228,"=",0.94,"<",0.01,0,"r(4228) = .94, p < .01",FALSE,FALSE,FALSE,FALSE,0.11
"29","Consumer Responses to Service Failure - Karin Weber, Cathy H.C. Hsu, Beverley A. Sparks, 2014","F",8,874,"=",7.41,"<",0.001,0.00000000140519310216916,"F (8, 874) = 7.41, p < .001",FALSE,FALSE,FALSE,FALSE,0.25
"30","Consumer Responses to Service Failure - Karin Weber, Cathy H.C. Hsu, Beverley A. Sparks, 2014","F",8,874,"=",2.16,"<",0.05,0.028386975596919,"F (8, 874) = 2.16, p < .05",FALSE,FALSE,FALSE,FALSE,0.25
"31","Consumer Responses to Service Failure - Karin Weber, Cathy H.C. Hsu, Beverley A. Sparks, 2014","F",2,225,"=",8.47,"<",0.001,0.000284066292053242,"F (2, 225) = 8.47, p < .001",FALSE,FALSE,FALSE,FALSE,0.25
"32","Culture and Suicide Acceptability  A Cross-National, Multilevel Analysis - Stack","Z",NA,NA,"=",5.2,"=",0.0001,0.000000199288526338669,"Z = 5.20, p = 0.0001",TRUE,FALSE,TRUE,FALSE,0.12
"33","Culture and Suicide Acceptability  A Cross-National, Multilevel Analysis - Stack","Z",NA,NA,"=",163.1,"=",0.0001,0,"Z = 163.1, p = 0.0001",TRUE,FALSE,TRUE,FALSE,0.12
"34","Do Reputation Systems Undermine Trust","t",NA,60,"=",2.61,"=",0.012,0.0114164330274157,"t(60) = 2.61, P = .012",FALSE,FALSE,TRUE,FALSE,0.09
"35","Do Reputation Systems Undermine Trust","t",NA,56,"=",1.49,"=",0.14,0.141835366068493,"t(56) = 1.49, P = .14",FALSE,FALSE,FALSE,FALSE,0.09
"36","Do Reputation Systems Undermine Trust","t",NA,56,"=",2.4,"=",0.02,0.0197449617074292,"t(56) = 2.40, P = .02",FALSE,FALSE,FALSE,FALSE,0.09
"37","Dynamic Family System Trajectories From Pregnancy to Child's First Year","Chi2",1,NA,"=",10.54,"=",0.001,0.00116818419869753,";2(1, N = 705) = 10.54, p = .001",FALSE,FALSE,FALSE,FALSE,0.69
"38","Dynamic Family System Trajectories From Pregnancy to Child's First Year","Chi2",1,NA,"=",3.97,"=",0.046,0.0463177724145525,";2(1, N = 705) = 3.97, p = .046",FALSE,FALSE,FALSE,FALSE,0.69
"39","Dynamic Family System Trajectories From Pregnancy to Child's First Year","Chi2",1,NA,"=",6.52,"=",0.011,0.0106668003114579,";2(1, N = 705) = 6.52, p = .011",FALSE,FALSE,FALSE,FALSE,0.69
"40","Dynamic Family System Trajectories From Pregnancy to Child's First Year","Chi2",2,NA,"=",11.21,"=",0.024,0.00367942054425435,";2(2, N = 649) = 11.21, p = .024",TRUE,FALSE,FALSE,FALSE,0.69
"41","Dynamic Family System Trajectories From Pregnancy to Child's First Year","t",NA,656,"=",5.59,"<",0.001,0.0000000333262655920713,"t(656) = 5.59, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"42","Dynamic Family System Trajectories From Pregnancy to Child's First Year","Chi2",1,NA,"=",70.38,"<",0.001,0.0000000000000000489133171105374,";2(1, N = 636) = 70.38, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"43","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",6,467,"=",131.43,"<",0.001,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000555426651325031,"F(6, 467) = 131.43, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"44","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",6,467,"=",119.94,"<",0.001,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000276127028416989,"F(6, 467) = 119.94, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"45","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",12,934,"=",11.13,"<",0.001,0.00000000000000000000493947736324216,"F(12, 934) = 11.13, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"46","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",12,934,"=",30.87,"<",0.001,0.00000000000000000000000000000000000000000000000000000000000643417269820325,"F(12, 934) = 30.87, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"47","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",6,612,"=",92.05,"<",0.001,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000363154127637982,"F(6, 612) = 92.05, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"48","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",6,592,"=",12.43,"<",0.001,0.000000000000326313706736587,"F(6, 592) = 12.43, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"49","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",6,496,"=",129.81,"<",0.001,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000246650285759901,"F(6, 496) = 129.81, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"50","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",6,612,"=",86.68,"<",0.001,0.00000000000000000000000000000000000000000000000000000000000000000000000000000182772775661744,"F(6, 612) = 86.68, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"51","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",6,496,"=",120.77,"<",0.001,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011221555195224,"F(6, 496) = 120.77, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"52","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",1,195,"=",14.66,"<",0.001,0.000173426177747721,"F(1, 195) = 14.66, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"53","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",1,27,"=",15.33,"=",0.004,0.000553414967320664,"F(1, 27) = 15.33, p = .004",TRUE,FALSE,TRUE,FALSE,0.69
"54","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",1,31,"=",8.52,"=",0.042,0.00648822391483516,"F(1, 31) = 8.52, p = .042",TRUE,FALSE,FALSE,FALSE,0.69
"55","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",1,31,"=",16.15,"=",0.002,0.00034678570646307,"F(1,31) = 16.15, p = .002",TRUE,FALSE,TRUE,FALSE,0.69
"56","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",1,77,"=",7.82,"=",0.049,0.00652208911833875,"F(1, 77) = 7.82, p = .049",TRUE,FALSE,FALSE,FALSE,0.69
"57","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",1,25,"=",94.59,"<",0.001,0.000000000560347991306249,"F(1, 25) = 94.59, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"58","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",1,25,"=",113.8,"<",0.001,0.0000000000856374653485307,"F(1, 25) = 113.80, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"59","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",1,25,"=",55.23,"<",0.001,0.0000000876456190987658,"F(1, 25) = 55.23, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"60","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",1,77,"=",14.74,"=",0.002,0.000251520555871303,"F(1, 77) = 14.74, p = .002",TRUE,FALSE,TRUE,FALSE,0.69
"61","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",1,77,"=",81.56,"<",0.001,0.000000000000104480061862734,"F(1, 77) = 81.56, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"62","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",1,77,"=",7.8,"=",0.046,0.00658784118969952,"F(1, 77) = 7.80, p = .046",TRUE,FALSE,FALSE,FALSE,0.69
"63","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",1,77,"=",41.3,"<",0.001,0.00000000990976823455983,"F(1, 77) = 41.30, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"64","Dynamic Family System Trajectories From Pregnancy to Child's First Year","F",1,77,"=",13.15,"=",0.004,0.000514321299962399,"F(1, 77) = 13.15, p = .004",TRUE,FALSE,TRUE,FALSE,0.69
"65","Dynamic Family System Trajectories From Pregnancy to Child's First Year","Chi2",6,NA,"=",24.68,"<",0.001,0.000391310400331795,";2(6, N = 586) = 24.68, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"66","Dynamic Family System Trajectories From Pregnancy to Child's First Year","Chi2",6,NA,"=",13.87,"=",0.037,0.0311225314599787,";2(6, N = 586) = 13.87, p = .037",TRUE,FALSE,FALSE,FALSE,0.69
"67","Dynamic Family System Trajectories From Pregnancy to Child's First Year","Chi2",6,NA,"=",21.17,"=",0.002,0.00170993212978196,";2(6, N = 586) = 21.17, p = .002",FALSE,FALSE,FALSE,FALSE,0.69
"68","Dynamic Family System Trajectories From Pregnancy to Child's First Year","Chi2",6,NA,"=",14.46,"=",0.025,0.0248992100173962,";2(6, N = 586) = 14.46, p = .025",FALSE,FALSE,FALSE,FALSE,0.69
"69","Dynamic Family System Trajectories From Pregnancy to Child's First Year","Chi2",48,NA,"=",103.82,"<",0.001,0.00000546574894909591,";2(48, N = 586) = 103.82, p < .001",FALSE,FALSE,FALSE,FALSE,0.69
"70","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","F",1,189,"=",18.26,"<",0.001,0.0000305191501737191,"F(1, 189) = 18.26, p < .001",FALSE,FALSE,FALSE,FALSE,0.91
"71","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","F",1,189,"=",61.54,"<",0.001,0.000000000000311190404280936,"F(1, 189) = 61.54, p < .001",FALSE,FALSE,FALSE,FALSE,0.91
"72","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","F",1,189,"=",188.52,"<",0.001,0.00000000000000000000000000000328464975432857,"F(1, 189) = 188.52, p < .001",FALSE,FALSE,FALSE,FALSE,0.91
"73","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","t",NA,189,"=",18.84,"<",0.001,0.00000000000000000000000000000000000000000000295309744845682,"t(189) = 18.84, p < .001",FALSE,FALSE,FALSE,FALSE,0.91
"74","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","t",NA,189,"=",5.43,"<",0.001,0.00000017172505466156,"t(189) = 5.43, p < .001",FALSE,FALSE,FALSE,FALSE,0.91
"75","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","t",NA,189,"=",13.5,"<",0.001,0.0000000000000000000000000000161237764937923,"t(189) = 13.50, p < .001",FALSE,FALSE,FALSE,FALSE,0.91
"76","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","F",2,189,"=",7.45,"<",0.001,0.000768621729875099,"F(2, 189) = 7.45, p < .001",FALSE,FALSE,FALSE,FALSE,0.91
"77","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","t",NA,189,"=",2.84,"<",0.01,0.0050055008337395,"t(189) = 2.84, p < .01",FALSE,FALSE,FALSE,FALSE,0.91
"78","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","t",NA,189,"=",3.7,"<",0.001,0.000282622631560438,"t(189) = 3.70, p < .001",FALSE,FALSE,FALSE,FALSE,0.91
"79","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","F",2,189,"=",5.58,"<",0.01,0.00442065240089765,"F(2, 189) = 5.58, p < .01",FALSE,FALSE,FALSE,FALSE,0.91
"80","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","F",2,189,"=",3.81,"<",0.05,0.0238684173175831,"F(2, 189) = 3.81, p < .05",FALSE,FALSE,FALSE,FALSE,0.91
"81","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","t",NA,189,"=",3.4,"<",0.001,0.000822056711433645,"t(189) = 3.40, p < .001",FALSE,FALSE,FALSE,FALSE,0.91
"82","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","t",NA,189,"=",1.99,"<",0.05,0.0480325625841945,"t(189) = 1.99, p < .05",FALSE,FALSE,FALSE,FALSE,0.91
"83","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","t",NA,189,"=",4.61,"<",0.001,0.00000739919577375701,"t(189) = 4.61, p < .001",FALSE,FALSE,FALSE,FALSE,0.91
"84","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","t",NA,189,"=",2.12,"<",0.05,0.0353108118133092,"t(189) = 2.12, p < .05",FALSE,FALSE,FALSE,FALSE,0.91
"85","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","t",NA,189,"=",0.29,"ns",NA,0.772134155765906,"t(189) = .29, NS",FALSE,FALSE,FALSE,FALSE,0.91
"86","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","F",1,189,"=",0.75,"ns",NA,0.387574249935471,"F(1, 189) = .75, NS",FALSE,FALSE,FALSE,FALSE,0.91
"87","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","F",1,189,"=",2.34,"<",0.05,0.127761518459391,"F(1, 189) = 2.34, p < .05",TRUE,TRUE,FALSE,FALSE,0.91
"88","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","F",2,189,"=",19.25,"<",0.001,0.0000000245979039034865,"F(2, 189) = 19.25, p < .001",FALSE,FALSE,FALSE,FALSE,0.91
"89","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","F",1,189,"=",4.87,"<",0.05,0.0285318924782694,"F(1, 189) = 4.87, p < .05",FALSE,FALSE,FALSE,FALSE,0.91
"90","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","F",2,189,"=",10,"<",0.001,0.0000744417299053394,"F(2, 189) = 10.00, p < .001",FALSE,FALSE,FALSE,FALSE,0.91
"91","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","t",NA,189,"=",3.16,"<",0.01,0.00183752223260803,"t(189) = 3.16, p < .01",FALSE,FALSE,FALSE,FALSE,0.91
"92","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","t",NA,189,"=",5.96,"<",0.001,0.0000000121312180538847,"t(189) = 5.96, p < .001",FALSE,FALSE,FALSE,FALSE,0.91
"93","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","t",NA,189,"=",2.81,"<",0.01,0.00547564513518929,"t(189) = 2.81, p < .01",FALSE,FALSE,FALSE,FALSE,0.91
"94","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","t",NA,189,"=",4.61,"<",0.001,0.00000739919577375701,"t(189) = 4.61, p < .001",FALSE,FALSE,FALSE,FALSE,0.91
"95","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","t",NA,189,"=",3.32,"<",0.001,0.00108019790467439,"t(189) = 3.32, p < .001",TRUE,FALSE,FALSE,FALSE,0.91
"96","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","t",NA,189,"=",1.45,"ns",NA,0.148715939509948,"t(189) = 1.45, NS",FALSE,FALSE,FALSE,FALSE,0.91
"97","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","F",1,189,"=",0.09,"ns",NA,0.764506851153383,"F(1, 189) = .09, NS",FALSE,FALSE,FALSE,FALSE,0.91
"98","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","F",1,189,"=",22.78,"<",0.001,0.00000362778369612431,"F(1, 189) = 22.78, p < .001",FALSE,FALSE,FALSE,FALSE,0.91
"99","Effective Communication Strategies for Store Remodeling- Stephanie Qing Liu, Anna S. Mattila, 2016","t",NA,193,"=",15.06,"<",0.001,0.000000000000000000000000000000000210255700151865,"t(193) = 15.06, p < .001",FALSE,FALSE,FALSE,FALSE,0.91
"100","Effects of Customer Participation in Corporate Social Responsibility (CSR) Programs... - Cha, Yi, Bagozzi, 2016","Chi2",118,NA,"=",183.4,"=",0,0.000108934956653581,"‡2(118) = 183.40, p = .00",TRUE,FALSE,FALSE,FALSE,0.61
"101","Effects of Customer Participation in Corporate Social Responsibility (CSR) Programs... - Cha, Yi, Bagozzi, 2016","Chi2",127,NA,"=",192.16,"=",0,0.000168620083772991,"‡2(127) = 192.16, p = .00",TRUE,FALSE,FALSE,FALSE,0.61
"102","Effects of Customer Participation in Corporate Social Responsibility (CSR) Programs... - Cha, Yi, Bagozzi, 2016","Chi2",9,NA,"=",8.76,">",0.45,0.459716899054382,"d2(9) = 8.76, p> .45",FALSE,FALSE,FALSE,FALSE,0.61
"103","Effects of Customer Participation in Corporate Social Responsibility (CSR) Programs... - Cha, Yi, Bagozzi, 2016","Chi2",136,NA,"=",227.34,"=",0,0.0000014950213900138,"‡2(136) = 227.34, p = .00",TRUE,FALSE,FALSE,FALSE,0.61
"104","Effects of Customer Participation in Corporate Social Responsibility (CSR) Programs... - Cha, Yi, Bagozzi, 2016","Chi2",1,NA,"=",3.19,">",0.07,0.0740900117021299,"d2(1) = 3.19, p> .07",FALSE,FALSE,FALSE,FALSE,0.61
"105","Effects of Customer Participation in Corporate Social Responsibility (CSR) Programs... - Cha, Yi, Bagozzi, 2016","Chi2",120,NA,"=",185.76,"=",0,0.000111419024604148,"‡2(120) = 185.76, p = .00",TRUE,FALSE,FALSE,FALSE,0.61
"106","Effects of Customer Participation in Corporate Social Responsibility (CSR) Programs... - Cha, Yi, Bagozzi, 2016","Chi2",129,NA,"=",194.54,"=",0,0.000170698351688117,"‡2(129) = 194.54, p = .00",TRUE,FALSE,FALSE,FALSE,0.61
"107","Effects of Customer Participation in Corporate Social Responsibility (CSR) Programs... - Cha, Yi, Bagozzi, 2016","Chi2",1,NA,"=",2.42,"=",0.12,0.119794930425918,"d2(1) = 2.42, p = .12",FALSE,FALSE,FALSE,FALSE,0.61
"108","Effects of Customer Participation in Corporate Social Responsibility (CSR) Programs... - Cha, Yi, Bagozzi, 2016","Chi2",1,NA,"=",8.15,"<",0.005,0.0043061161064013,"d2(1) = 8.15, p< .005",FALSE,FALSE,FALSE,FALSE,0.61
"109","Effects of Customer Participation in Corporate Social Responsibility (CSR) Programs... - Cha, Yi, Bagozzi, 2016","Chi2",1,NA,"=",0.002,"=",1,0.96432940827032,"d2(1) = .002, p = 1.00",TRUE,FALSE,FALSE,FALSE,0.61
"110","Effects of Customer Participation in Corporate Social Responsibility (CSR) Programs... - Cha, Yi, Bagozzi, 2016","Chi2",1,NA,"=",0.96,">",0.32,0.327186877790306,"d2(1) = .96, p> .32",FALSE,FALSE,FALSE,FALSE,0.61
"111","Empathic Accuracy and Aggression in Couples  Individual and Dyadic Links - Cohen - 2015","t",NA,108,"=",3.47,"=",0.001,0.000749024664389181,"t(108) = 3.47, p = .001",FALSE,FALSE,FALSE,TRUE,0.08
"112","Empathic Accuracy and Aggression in Couples  Individual and Dyadic Links - Cohen - 2015","t",NA,108,"=",1.88,"=",0.06,0.0628027472237615,"t(108) = 1.88, p = .06",FALSE,FALSE,FALSE,TRUE,0.08
"113","Familism Values, Family Time, and Mexican-Origin Young Adults' Depressive Symptoms - Zeiders - 2015","Chi2",32,NA,"=",27.28,"=",0.7,0.704459887028522,";2 (32) = 27.28, p = .70",FALSE,FALSE,FALSE,FALSE,0.09
"114","Familism Values, Family Time, and Mexican-Origin Young Adults' Depressive Symptoms - Zeiders - 2015","Chi2",55,NA,"=",72.25,"=",0.059,0.0592869978576558,";2 (55) = 72.25, p = .059",FALSE,FALSE,FALSE,FALSE,0.09
"115","Familism Values, Family Time, and Mexican-Origin Young Adults' Depressive Symptoms - Zeiders - 2015","Chi2",47,NA,"=",37.55,"=",0.84,0.836183072760278,";2 (47) = 37.55, p = .84",FALSE,FALSE,FALSE,FALSE,0.09
"116","Gender and Children's Housework Time in China  Examining Behavior Modeling in Context - Hu - 2015","t",NA,965,"=",2.91,"<",0.01,0.00369731059897947,"t(965) = 2.91, p < .01",FALSE,FALSE,FALSE,FALSE,0.08
